id,total_rent,living_space,rooms,age,floor,zipcode,city,district,has_balcony,has_kitchen,has_cellar,has_elevator,needs_wbs
102031347,3115.0,178.0,5.0,118,3,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
102034949,1097.01,71.7,3.0,1,3,12489,Berlin,Adlershof (Treptow),True,False,True,False,False
102096621,670.0,41.0,1.0,118,1,14059,Berlin,Charlottenburg (Charlottenburg),False,False,False,False,False
102123414,1731.0,121.76,3.0,118,3,10627,Berlin,Charlottenburg (Charlottenburg),False,False,False,True,False
102131259,801.5,56.86,2.0,112,0,10318,Berlin,Karlshorst (Lichtenberg),True,False,False,False,False
102141630,1079.0,84.05,3.0,21,2,12679,Berlin,Marzahn (Marzahn),False,True,False,True,False
102146263,1736.0,98.27,3.0,1,1,10117,Berlin,Mitte (Mitte),True,True,False,True,False
102148110,1282.5,75.0,2.0,107,3,12043,Berlin,None,False,False,False,False,False
102171872,1909.11,102.79,3.0,2,None,10585,Berlin,Charlottenburg (Charlottenburg),False,True,False,True,False
102193905,830.0,77.03,2.0,20,2,12623,Berlin,Mahlsdorf (Hellersdorf),True,False,False,False,False
102196751,1640.21,88.66,3.0,1,2,12435,Berlin,Treptow (Treptow),True,True,True,True,False
102200242,800.0,22.0,1.0,1,2,10405,Berlin-Prenzlauer,Berg, Prenzlauer Berg (Prenzlauer Berg),False,False,True,True,False
102200296,1100.0,30.0,2.0,1,2,10405,Berlin-Prenzlauer,Berlin, Prenzlauer Berg (Prenzlauer Berg),False,False,True,True,False
102236045,1900.78,125.0,1.0,None,2,10365,Berlin,Lichtenberg (Lichtenberg),True,True,True,True,False
102237882,1649.0,162.33,4.0,118,2,12439,Berlin,- Brückenstraße / Schnellerstraße,True,False,False,False,False
102258141,1136.1,87.21,3.0,44,1,13591,Berlin,Staaken (Spandau),True,False,True,False,False
102264493,1768.0,114.0,3.0,93,5,10555,Berlin,None,True,False,True,True,False
102268699,927.18,60.6,2.0,1,3,12489,Berlin,Adlershof (Treptow),True,False,True,False,False
102272163,1625.0,106.83,3.0,22,5,10117,Berlin-Mitte,Mitte (Mitte),True,True,False,True,False
102291413,680.0,30.36,1.0,41,8,10369,Berlin,Lichtenberg (Lichtenberg),False,False,False,True,False
102325701,730.0,61.04,2.0,21,3,13189,Berlin,Pankow (Pankow),True,True,True,True,False
102344210,1550.0,100.0,3.0,118,4,10717,Berlin,Wilmersdorf (Wilmersdorf),True,True,False,True,False
102345690,1269.0,114.0,4.0,63,0,14199,Berlin,Schmargendorf (Wilmersdorf),False,False,False,True,False
102347964,1278.0,60.57,2.0,None,5,10963,Berlin,Kreuzberg (Kreuzberg),True,True,True,True,False
102348520,1120.0,75.45,3.0,28,4,12207,Berlin,Lichterfelde (Steglitz),True,True,True,True,False
102350555,950.4,66.0,2.0,None,1,10247,Berlin,None,True,True,False,True,False
102369330,2427.0,108.13,3.0,28,9,10785,Berlin,Tiergarten (Tiergarten),True,True,True,False,False
102404954,1359.0,77.0,3.0,52,3,13595,Berlin,Spandau (Spandau),True,True,True,True,False
102406654,1160.0,74.0,3.0,49,1,14193,Berlin,Grunewald (Wilmersdorf),True,True,True,False,False
102426379,1990.92,141.21,2.0,113,1,10709,Berlin,- Kurfürstendamm,False,False,False,True,False
102442871,1117.14,92.46,3.0,108,1,13347,Berlin,Wedding (Wedding),True,True,True,True,False
102469880,2750.0,180.0,4.0,100,5,10709,Berlin,None,True,True,False,True,False
102480029,600.0,20.2,1.0,51,None,12203,Berlin,Lichterfelde (Steglitz),False,False,False,False,False
102480982,3500.0,253.76,5.0,6,5,10318,Berlin,Karlshorst (Lichtenberg),True,True,True,True,False
102480990,1115.0,68.0,2.0,0,3,10243,Berlin,Friedrichshain (Friedrichshain),True,False,False,True,False
102481548,770.18,35.1,1.0,2,1,13189,Berlin,Pankow (Pankow),True,True,True,True,False
102528569,460.0,27.0,1.0,118,4,10777,Berlin,Schöneberg (Schöneberg),False,False,False,True,False
102529988,1075.0,76.75,3.0,1,2,12557,Berlin,Köpenick (Köpenick),True,True,False,True,False
102532840,723.6,72.22,2.0,41,3,13595,Berlin,Spandau (Spandau),True,True,True,True,True
102534255,3717.0,183.77,4.0,28,9,10785,Berlin,Tiergarten (Tiergarten),True,True,True,False,False
102561867,1465.0,90.27,3.0,1,None,13086,Berlin,Weißensee (Weißensee),False,True,True,True,False
102627429,2030.0,132.0,3.0,None,5,10437,Berlin,Prenzlauer Berg (Prenzlauer Berg),True,False,True,True,False
102632624,749.0,85.74,2.0,36,0,12683,Berlin,Biesdorf (Marzahn),True,False,True,True,False
102633214,1589.66,126.02,3.0,25,None,12249,Berlin,Lankwitz (Steglitz),True,False,True,False,False
102638467,1603.28,97.38,4.0,113,3,10243,Berlin,- Warschauer Straße,True,False,False,True,False
102662963,1500.0,105.5,2.0,24,4,10369,Berlin,Lichtenberg (Lichtenberg),True,True,True,True,False
102711128,500.0,32.5,1.0,26,4,10439,Berlin,Prenzlauer Berg, Prenzlauer Berg (Prenzlauer Berg),False,False,True,True,False
102717947,914.71,78.18,3.0,20,3,13086,Berlin,Weißensee (Weißensee),True,True,True,True,False
102718766,1440.0,70.0,2.0,2,None,10115,Berlin,None,True,True,False,True,False
102721451,2550.0,111.0,3.0,4,3,10117,Berlin,Mitte (Mitte),True,True,True,True,False
102735492,1839.0,139.0,4.0,88,3,13581,Berlin,Spandau (Spandau),True,False,False,False,False
102741767,430.67,50.47,2.0,35,1,13589,Berlin,Spandau (Spandau),True,True,False,True,False
102743476,690.0,35.0,1.0,118,3,14059,Berlin,Charlottenburg (Charlottenburg),False,True,False,False,False
102748033,4080.0,251.91,5.0,118,4,10965,Berlin,Kreuzberg (Kreuzberg),True,True,True,True,False
102760034,3299.0,142.0,3.0,9,1,10405,Berlin,None,True,True,True,True,False
102781063,701.67,51.97,2.0,None,1,14193,Berlin,None,True,True,True,False,False
102805388,680.0,54.91,2.0,54,5,13589,Berlin,Spandau (Spandau),True,False,True,True,False
102807373,1709.0,101.55,3.0,1,1,13086,Berlin,Weißensee (Weißensee),False,True,True,True,False
102810428,1235.62,90.05,2.0,108,5,12159,Berlin,Schöneberg (Schöneberg),True,True,True,False,False
102810750,2250.0,133.0,4.0,0,2,10249,Berlin,None,True,True,True,True,False
102812870,1500.0,100.0,3.0,0,3,12109,Berlin,Mariendorf (Tempelhof),True,True,True,True,False
102823297,2635.0,108.0,3.0,1,3,10557,Berlin,Tiergarten (Tiergarten),True,False,False,True,False
102827048,876.0,77.0,3.0,110,3,13086,Berlin,Weißensee (Weißensee),True,False,True,False,False
102832753,1970.0,87.0,3.0,1,3,13507,Berlin,Tegel (Reinickendorf),True,False,True,True,False
102833625,2937.55,152.6,5.0,1,5,12435,Berlin,Treptow (Treptow),True,True,True,True,False
102837735,805.0,72.8,2.5,53,3,13599,Berlin,Haselhorst (Spandau),True,True,True,False,False
102841970,2278.0,109.93,5.0,108,1,10825,Berlin,Schöneberg (Schöneberg),True,False,False,True,False
102857339,1144.0,108.0,2.0,112,4,13595,Berlin,Spandau (Spandau),True,True,True,False,False
102859584,785.68,67.89,3.0,24,2,13587,Berlin,Spandau (Spandau),False,True,True,False,False
102878039,1548.22,83.0,3.0,1,4,10557,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
102880913,891.88,77.44,2.5,52,2,13589,Berlin,Spandau (Spandau),False,False,False,True,False
102883615,1255.0,80.0,2.0,56,1,10961,Berlin-Kreuzberg,Kreuzberg (Kreuzberg),False,False,False,True,False
102884836,3700.0,233.0,5.0,108,5,14053,Berlin,None,True,True,True,True,False
102907141,2683.0,145.0,3.0,118,2,10785,Berlin,Tiergarten (Tiergarten),False,True,True,True,False
